NMR signal (mV),time (s)
0.209823,0.0
0.202889,0.00075
0.220363,0.0015
0.18742,0.00225
0.184499,0.003
0.201199,0.00375
0.188468,0.0045
0.19805,0.00525
0.187373,0.006
0.198872,0.00675
0.190522,0.0075
0.205579,0.00825
0.196408,0.009
0.18094,0.00975
0.210096,0.0105
0.146444,0.01125
0.20024,0.012
0.197503,0.01275
0.191069,0.0135
0.160133,0.01425
0.206537,0.015
0.187784,0.01575
0.159448,0.0165
0.190522,0.01725
0.206537,0.018
0.206948,0.01875
0.20202,0.0195
0.196545,0.02025
0.191206,0.021
0.196818,0.02175
0.175738,0.0225
0.203389,0.02325
0.191343,0.024
0.207495,0.02475
0.17697,0.0255
0.218036,0.02625
0.202841,0.027
0.168757,0.02775
0.187373,0.0285
0.204621,0.02925
0.19189,0.03
0.193396,0.03075
0.214066,0.0315
0.190795,0.03225
0.18751,0.033
0.1897,0.03375
0.187921,0.0345
0.183951,0.03525
0.194354,0.036
0.174506,0.03675
0.156985,0.0375
0.19764,0.03825
0.190932,0.039
0.193396,0.03975
0.204758,0.0405
0.182308,0.04125
0.171631,0.042
0.193396,0.04275
0.179844,0.0435
0.185731,0.04425
0.14973,0.045
0.187921,0.04575
0.161365,0.0465
0.171768,0.04725
0.171631,0.048
0.186963,0.04875
0.181624,0.0495
0.144665,0.05025
0.174506,0.051
0.192575,0.05175
0.156985,0.0525
0.195313,0.05325
0.144254,0.054
0.196545,0.05475
0.165198,0.0555
0.170947,0.05625
0.196408,0.057
0.182035,0.05775
0.162186,0.0585
0.188331,0.05925
0.179981,0.06
0.142475,0.06075
0.187784,0.0615
0.205442,0.06225
0.184088,0.063
0.169989,0.06375
0.169441,0.0645
0.19983,0.06525
0.17478,0.066
0.172042,0.06675
0.202157,0.0675
0.172042,0.06825
0.172726,0.069
0.182993,0.06975
0.201062,0.0705
0.192986,0.07125
0.186278,0.072
0.155753,0.07275
0.202294,0.0735
0.16246,0.07425
0.175053,0.075
0.168483,0.07575
0.218446,0.0765
0.152741,0.07725
0.186826,0.078
0.168483,0.07875
0.172179,0.0795
0.184362,0.08025
0.178886,0.081
0.184225,0.08175
0.172863,0.0825
0.167388,0.08325
0.182308,0.084
0.1897,0.08475
0.159859,0.0855
0.182856,0.08625
0.181487,0.087
0.184772,0.08775
0.176422,0.0885
0.202978,0.08925
0.162871,0.09
0.185594,0.09075
0.169578,0.0915
0.186278,0.09225
0.188879,0.093
0.19367,0.09375
0.169304,0.0945
0.186141,0.09525
0.167525,0.096
0.142885,0.09675
0.180392,0.0975
0.196134,0.09825
0.157806,0.099
0.175053,0.09975
0.194491,0.1005
0.175464,0.10125
0.161502,0.102
0.132071,0.10275
0.190522,0.1035
0.202704,0.10425
0.188468,0.105
0.175464,0.10575
0.155616,0.1065
0.171358,0.10725
0.185183,0.108
0.179297,0.10875
0.165745,0.1095
0.163008,0.11025
0.182719,0.111
0.190248,0.11175
0.161502,0.1125
0.1396,0.11325
0.180392,0.114
0.192849,0.11475
0.185594,0.1155
0.148771,0.11625
0.16643,0.117
0.201883,0.11775
0.175464,0.1185
0.138231,0.11925
0.21215,0.12
0.144528,0.12075
0.190248,0.1215
0.16465,0.12225
0.197366,0.123
0.194354,0.12375
0.150825,0.1245
0.195039,0.12525
0.184362,0.126
0.172316,0.12675
0.15808,0.1275
0.196818,0.12825
0.179297,0.129
0.165608,0.12975
0.147539,0.1305
0.182035,0.13125
0.157669,0.132
0.159038,0.13275
0.177381,0.1335
0.20024,0.13425
0.167114,0.135
0.156437,0.13575
0.174643,0.1365
0.195723,0.13725
0.142612,0.138
0.157669,0.13875
0.152604,0.1395
0.169167,0.14025
0.16246,0.141
0.161091,0.14175
0.183951,0.1425
0.168483,0.14325
0.165471,0.144
0.198872,0.14475
0.199145,0.1455
0.178613,0.14625
0.143843,0.147
0.187099,0.14775
0.187373,0.1485
0.161912,0.14925
0.188058,0.15
0.18354,0.15075
0.1563,0.1515
0.175053,0.15225
0.186826,0.153
0.167935,0.15375
0.171084,0.1545
0.136862,0.15525
0.200651,0.156
0.181624,0.15675
0.172179,0.1575
0.146855,0.15825
0.178613,0.159
0.169989,0.15975
0.156711,0.1605
0.166567,0.16125
0.159038,0.162
0.171494,0.16275
0.181624,0.1635
0.148498,0.16425
0.164239,0.165
0.156026,0.16575
0.158353,0.1665
0.185457,0.16725
0.175327,0.168
0.147266,0.16875
0.178749,0.1695
0.163692,0.17025
0.176285,0.171
0.166703,0.17175
0.183814,0.1725
0.183404,0.17325
0.155889,0.174
0.17916,0.17475
0.167114,0.1755
0.145897,0.17625
0.172453,0.177
0.167388,0.17775
0.180529,0.1785
0.177381,0.17925
0.135493,0.18
0.134672,0.18075
0.153015,0.1815
0.14795,0.18225
0.164376,0.183
0.183677,0.18375
0.176012,0.1845
0.125911,0.18525
0.181076,0.186
0.181213,0.18675
0.179023,0.1875
0.14138,0.18825
0.146307,0.189
0.163966,0.18975
0.129744,0.1905
0.16465,0.19125
0.174095,0.192
0.15808,0.19275
0.167251,0.1935
0.152467,0.19425
0.147813,0.195
0.15411,0.19575
0.1396,0.1965
0.193533,0.19725
0.176559,0.198
0.183814,0.19875
0.156437,0.1995
0.149456,0.20025
0.190932,0.201
0.142475,0.20175
0.173685,0.2025
0.186552,0.20325
0.152057,0.204
0.160817,0.20475
0.177517,0.2055
0.176285,0.20625
0.170399,0.207
0.173822,0.20775
0.144528,0.2085
0.177244,0.20925
0.143707,0.21
0.140148,0.21075
0.147403,0.2115
0.18313,0.21225
0.155205,0.213
0.176285,0.21375
0.156026,0.2145
0.140695,0.21525
0.168483,0.216
0.14795,0.21675
0.174369,0.2175
0.15411,0.21825
0.184636,0.219
0.187784,0.21975
0.131524,0.2205
0.169715,0.22125
0.18751,0.222
0.175464,0.22275
0.178749,0.2235
0.146444,0.22425
0.188195,0.225
0.17259,0.22575
0.170673,0.2265
0.165335,0.22725
0.184499,0.228
0.168483,0.22875
0.153973,0.2295
0.16465,0.23025
0.177654,0.231
0.176422,0.23175
0.138642,0.2325
0.145075,0.23325
0.18313,0.234
0.123037,0.23475
0.157943,0.2355
0.205579,0.23625
0.145349,0.237
0.146855,0.23775
0.166977,0.2385
0.194081,0.23925
0.139189,0.24
0.146718,0.24075
0.175875,0.2415
0.194354,0.24225
0.135493,0.243
0.150688,0.24375
0.159996,0.2445
0.140695,0.24525
0.154247,0.246
0.141516,0.24675
0.167388,0.2475
0.16068,0.24825
0.153426,0.249
0.180118,0.24975
0.160133,0.2505
0.149045,0.25125
0.155889,0.252
0.155342,0.25275
0.164103,0.2535
0.142338,0.25425
0.170673,0.255
0.140558,0.25575
0.15192,0.2565
0.172726,0.25725
0.15014,0.258
0.163008,0.25875
0.140558,0.2595
0.125227,0.26025
0.172316,0.261
0.170126,0.26175
0.173822,0.2625
0.156848,0.26325
0.126185,0.264
0.138642,0.26475
0.148087,0.2655
0.145623,0.26625
0.173685,0.267
0.146307,0.26775
0.162186,0.2685
0.160544,0.26925
0.16068,0.27
0.12728,0.27075
0.124269,0.2715
0.17478,0.27225
0.169031,0.273
0.157669,0.27375
0.174232,0.2745
0.181487,0.27525
0.16465,0.276
0.162049,0.27675
0.150688,0.2775
0.1396,0.27825
0.142885,0.279
0.165335,0.27975
0.160133,0.2805
0.16643,0.28125
0.157121,0.282
0.156985,0.28275
0.14795,0.2835
0.159175,0.28425
0.16027,0.285
0.174232,0.28575
0.166156,0.2865
0.152604,0.28725
0.155479,0.288
0.145212,0.28875
0.148771,0.2895
0.116877,0.29025
0.156574,0.291
0.165745,0.29175
0.147403,0.2925
0.16862,0.29325
0.164376,0.294
0.154247,0.29475
0.129881,0.2955
0.153836,0.29625
0.154247,0.297
0.137183,0.29775
0.158217,0.2985
0.187647,0.29925
0.161365,0.3
0.146718,0.30075
0.151509,0.3015
0.15849,0.30225
0.161912,0.303
0.156711,0.30375
0.148771,0.3045
0.162597,0.30525
0.15849,0.306
0.148908,0.30675
0.164239,0.3075
0.172316,0.30825
0.166567,0.309
0.137547,0.30975
0.146992,0.3105
0.142201,0.31125
0.133988,0.312
0.192301,0.31275
0.165882,0.3135
0.140421,0.31425
0.12687,0.315
0.156163,0.31575
0.139326,0.3165
0.168346,0.31725
0.157943,0.318
0.159859,0.31875
0.163692,0.3195
0.136452,0.32025
0.173548,0.321
0.156848,0.32175
0.145486,0.3225
0.144391,0.32325
0.188195,0.324
0.130566,0.32475
0.159996,0.3255
0.181213,0.32625
0.124269,0.327
0.162049,0.32775
0.129607,0.3285
0.157121,0.32925
0.154247,0.33
0.151646,0.33075
0.138779,0.3315
0.153289,0.33225
0.172316,0.333
0.138368,0.33375
0.123447,0.3345
0.157258,0.33525
0.148498,0.336
0.159312,0.33675
0.161365,0.3375
0.164376,0.33825
0.165745,0.339
0.138231,0.33975
0.150003,0.3405
0.159585,0.34125
0.123037,0.342
0.156437,0.34275
0.148224,0.3435
0.168346,0.34425
0.146171,0.345
0.135904,0.34575
0.175738,0.3465
0.12728,0.34725
0.124543,0.348
0.166156,0.34875
0.157943,0.3495
0.160954,0.35025
0.156163,0.351
0.187921,0.35175
0.148361,0.3525
0.138231,0.35325
0.171494,0.354
0.148634,0.35475
0.149593,0.3555
0.161228,0.35625
0.155479,0.357
0.154794,0.35775
0.163281,0.3585
0.138231,0.35925
0.140284,0.36
0.157121,0.36075
0.140558,0.3615
0.155753,0.36225
0.168483,0.363
0.121942,0.36375
0.132482,0.3645
0.173822,0.36525
0.13125,0.366
0.127007,0.36675
0.159585,0.3675
0.159585,0.36825
0.168483,0.369
0.151372,0.36975
0.166293,0.3705
0.154247,0.37125
0.145349,0.372
0.130292,0.37275
0.176012,0.3735
0.12906,0.37425
0.150551,0.375
0.147266,0.37575
0.148361,0.3765
0.146718,0.37725
0.147403,0.378
0.163555,0.37875
0.132071,0.3795
0.134809,0.38025
0.130018,0.381
0.161365,0.38175
0.138231,0.3825
0.159175,0.38325
0.153152,0.384
0.146307,0.38475
0.140011,0.3855
0.117698,0.38625
0.147813,0.387
0.142064,0.38775
0.136589,0.3885
0.134398,0.38925
0.152741,0.39
0.135904,0.39075
0.145349,0.3915
0.124132,0.39225
0.163555,0.393
0.143296,0.39375
0.134809,0.3945
0.14357,0.39525
0.155068,0.396
0.147676,0.39675
0.148224,0.3975
0.137273,0.39825
0.128649,0.399
0.118656,0.39975
0.128786,0.4005
0.168072,0.40125
0.17081,0.402
0.163144,0.40275
0.172316,0.4035
0.136041,0.40425
0.149045,0.405
0.152741,0.40575
0.165608,0.4065
0.155342,0.40725
0.155479,0.408
0.124269,0.40875
0.169441,0.4095
0.157395,0.41025
0.119752,0.411
0.148224,0.41175
0.171905,0.4125
0.137684,0.41325
0.132893,0.414
0.151235,0.41475
0.153836,0.4155
0.137821,0.41625
0.154247,0.417
0.139326,0.41775
0.16643,0.4185
0.106337,0.41925
0.140421,0.42
0.170399,0.42075
0.146718,0.4215
0.115097,0.42225
0.154931,0.423
0.131661,0.42375
0.142612,0.4245
0.145486,0.42525
0.162049,0.426
0.153562,0.42675
0.130018,0.4275
0.148908,0.42825
0.142475,0.429
0.160954,0.42975
0.141243,0.4305
0.149045,0.43125
0.161776,0.432
0.149456,0.43275
0.129881,0.4335
0.161639,0.43425
0.159038,0.435
0.162186,0.43575
0.151509,0.4365
0.151098,0.43725
0.122673,0.438
0.128238,0.43875
0.16643,0.4395
0.154931,0.44025
0.13125,0.441
0.160817,0.44175
0.158764,0.4425
0.164513,0.44325
0.13125,0.444
0.124953,0.44475
0.122079,0.4455
0.145486,0.44625
0.142475,0.447
0.142612,0.44775
0.144528,0.4485
0.140832,0.44925
0.127417,0.45
0.160133,0.45075
0.156574,0.4515
0.121668,0.45225
0.151646,0.453
0.149593,0.45375
0.153836,0.4545
0.154384,0.45525
0.159038,0.456
0.163281,0.45675
0.136862,0.4575
0.124132,0.45825
0.149593,0.459
0.156574,0.45975
0.108801,0.4605
0.127007,0.46125
0.12728,0.462
0.162597,0.46275
0.159585,0.4635
0.139737,0.46425
0.175464,0.465
0.149182,0.46575
0.136178,0.4665
0.152057,0.46725
0.157395,0.468
0.150688,0.46875
0.113318,0.4695
0.167114,0.47025
0.117698,0.471
0.119341,0.47175
0.118793,0.4725
0.159038,0.47325
0.164376,0.474
0.153973,0.47475
0.166977,0.4755
0.150414,0.47625
0.152741,0.477
0.139463,0.47775
0.1563,0.4785
0.148224,0.47925
0.112497,0.48
0.164103,0.48075
0.14398,0.4815
0.125227,0.48225
0.148771,0.483
0.138779,0.48375
0.159312,0.4845
0.11893,0.48525
0.144802,0.486
0.140011,0.48675
0.135083,0.4875
0.140421,0.48825
0.147266,0.489
0.138642,0.48975
0.138231,0.4905
0.116193,0.49125
0.116603,0.492
0.127054,0.49275
0.127007,0.4935
0.153699,0.49425
0.153562,0.495
0.114002,0.49575
0.115829,0.4965
0.136999,0.49725
0.143296,0.498
0.138094,0.49875
0.153015,0.4995
0.133851,0.50025
0.168072,0.501
0.157121,0.50175
0.141106,0.5025
0.150414,0.50325
0.140695,0.504
0.120299,0.50475
0.133851,0.5055
0.117972,0.50625
0.13303,0.507
0.185046,0.50775
0.117425,0.5085
0.127965,0.50925
0.133714,0.51
0.121531,0.51075
0.138916,0.5115
0.142475,0.51225
0.136589,0.513
0.144254,0.51375
0.131661,0.5145
0.107021,0.51525
0.129607,0.516
0.163418,0.51675
0.105379,0.5175
0.13522,0.51825
0.144802,0.519
0.127965,0.51975
0.143433,0.5205
0.128786,0.52125
0.132071,0.522
0.157669,0.52275
0.128512,0.5235
0.138505,0.52425
0.115645,0.525
0.13741,0.52575
0.128102,0.5265
0.111402,0.52725
0.143843,0.528
0.142885,0.52875
0.149319,0.5295
0.144391,0.53025
0.13303,0.531
0.121668,0.53175
0.124406,0.5325
0.136178,0.53325
0.143159,0.534
0.126322,0.53475
0.125911,0.5355
0.16465,0.53625
0.112223,0.537
0.126459,0.53775
0.127965,0.5385
0.142064,0.53925
0.124132,0.54
0.123447,0.54075
0.150688,0.5415
0.145349,0.54225
0.14138,0.543
0.158901,0.54375
0.124953,0.5445
0.129607,0.54525
0.154521,0.546
0.147403,0.54675
0.128649,0.5475
0.1396,0.54825
0.146034,0.549
0.142748,0.54975
0.11236,0.5505
0.133714,0.55125
0.146718,0.552
0.156437,0.55275
0.130155,0.5535
0.126322,0.55425
0.136725,0.555
0.123174,0.55575
0.145897,0.5565
0.131798,0.55725
0.15849,0.558
0.115508,0.55875
0.152878,0.5595
0.134535,0.56025
0.145075,0.561
0.131798,0.56175
0.110854,0.5625
0.125364,0.56325
0.126185,0.564
0.15849,0.56475
0.119752,0.5655
0.119341,0.56625
0.1229,0.567
0.154521,0.56775
0.113455,0.5685
0.153152,0.56925
0.127554,0.57
0.131387,0.57075
0.144665,0.5715
0.102915,0.57225
0.113865,0.573
0.117561,0.57375
0.131387,0.5745
0.121942,0.57525
0.111675,0.576
0.108938,0.57675
0.123721,0.5775
0.141243,0.57825
0.116877,0.579
0.125775,0.57975
0.11455,0.5805
0.13125,0.58125
0.1229,0.582
0.136862,0.58275
0.14398,0.5835
0.114687,0.58425
0.100451,0.585
0.148908,0.58575
0.119067,0.5865
0.12509,0.58725
0.12112,0.588
0.155342,0.58875
0.153426,0.5895
0.139874,0.59025
0.122626,0.591
0.122216,0.59175
0.113729,0.5925
0.128923,0.59325
0.126185,0.594
0.162186,0.59475
